,Tree node ID,Tree node label,palmdb_sp_count,ncbi_sp_count,palmdb_sp_count_log,ncbi_sp_count_log,palmdb_sp_count_log-ncbi_sp_count_log
0,Mimivirus,Mimivirus,1,5,0.0,1.6094379124341003,0.0
1,Unclass. Nucleocytoviricota G,Unclass. Nucleocytoviricota G,1,NA,0.0,0.0,0.0
2,Muromegalovirus,Muromegalovirus,1,4,0.0,1.3862943611198906,0.0
3,Varicellovirus,Varicellovirus,1,22,0.0,3.091042453358316,0.0
4,Badnavirus,Badnavirus,1,77,0.0,4.343805421853684,0.0
5,Unclass. Artverviricota G,Unclass. Artverviricota G,1,NA,0.0,0.0,0.0
6,Unclass. Uroviricota G,Unclass. Uroviricota G,1,NA,0.0,0.0,0.0
7,Unclass. Myoviridae,Unclass. Myoviridae,1,NA,0.0,0.0,0.0
8,Unclass. Caudovirales G,Unclass. Caudovirales G,1,NA,0.0,0.0,0.0
9,Unclass. Fusariviridae,Unclass. Fusariviridae,390,NA,5.966146739123692,0.0,5.966146739123692
10,Unclass. Permutotetraviridae,Unclass. Permutotetraviridae,32,NA,3.4657359027997265,0.0,3.4657359027997265
11,Unclass. Polymycoviridae,Unclass. Polymycoviridae,19,NA,2.9444389791664403,0.0,2.9444389791664403
12,Polymycovirus,Polymycovirus,22,10,3.091042453358316,2.302585092994046,0.7884573603642702
13,Negevirus,Negevirus,57,8,4.04305126783455,2.0794415416798357,1.9636097261547145
14,Unclass. G,Unclass. G,98704,NA,11.49988075144942,0.0,11.49988075144942
15,Botybirnavirus,Botybirnavirus,11,3,2.3978952727983707,1.0986122886681098,1.2992829841302609
16,Avibirnavirus,Avibirnavirus,5,1,1.6094379124341003,0.0,1.6094379124341003
17,Unclass. Birnaviridae,Unclass. Birnaviridae,1,NA,0.0,0.0,0.0
18,Aquabirnavirus,Aquabirnavirus,1,5,0.0,1.6094379124341003,0.0
19,Entomobirnavirus,Entomobirnavirus,1,2,0.0,0.6931471805599453,0.0
20,Unclass. Lenarviricota G,Unclass. Lenarviricota G,1515,NA,7.323170717943469,0.0,7.323170717943469
21,Unclass. Howeltoviricetes G,Unclass. Howeltoviricetes G,5595,NA,8.629628620746026,0.0,8.629628620746026
22,Unclass. Cryppavirales G,Unclass. Cryppavirales G,7290,NA,8.894258825002703,0.0,8.894258825002703
23,Unclass. Mitoviridae,Unclass. Mitoviridae,4432,NA,8.39660622842712,0.0,8.39660622842712
24,Mitovirus,Mitovirus,1640,13,7.402451520818244,2.5649493574615367,4.837502163356707
25,Unclass. Amabiliviricetes G,Unclass. Amabiliviricetes G,3761,NA,8.232440158470336,0.0,8.232440158470336
26,Unclass. Wolframvirales G,Unclass. Wolframvirales G,1004,NA,6.911747300251674,0.0,6.911747300251674
27,Narnavirus,Narnavirus,113,10,4.727387818712341,2.302585092994046,2.424802725718295
28,Unclass. Narnaviridae,Unclass. Narnaviridae,1027,NA,6.934397209928558,0.0,6.934397209928558
29,Unclass. Allassoviricetes G,Unclass. Allassoviricetes G,11077,NA,9.312626165516933,0.0,9.312626165516933
30,Unclass. Levivirales G,Unclass. Levivirales G,19650,NA,9.885832617297407,0.0,9.885832617297407
31,Allolevivirus,Allolevivirus,82,73,4.406719247264253,4.290459441148391,0.1162598061158624
32,Unclass. Leviviridae,Unclass. Leviviridae,15730,NA,9.663324996052323,0.0,9.663324996052323
33,Levivirus,Levivirus,52,73,3.9512437185814275,4.290459441148391,0.0
34,Unclass. Miaviricetes G,Unclass. Miaviricetes G,1424,NA,7.261225091971921,0.0,7.261225091971921
35,Unclass. Ourlivirales G,Unclass. Ourlivirales G,2260,NA,7.723120092266331,0.0,7.723120092266331
