Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,donor_animal,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,TISSUE,day_post_infection,mdck_spike_in,hours_post_innoculation,seqwell_array_replicate,TREATMENT
SRR12698499,OTHER,108,32857185168,PRJNA665230,SAMN16246669,10881969726,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",NHP1,SRX9178097,GSM4800305,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T17:11:00Z,1,GSM4800305,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,4,a1,irrad
SRR12698500,OTHER,108,29340297360,PRJNA665230,SAMN16246668,9565994160,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",NHP1,SRX9178098,GSM4800306,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T17:14:00Z,1,GSM4800306,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,4,a1,live
SRR12698501,OTHER,108,33095488572,PRJNA665230,SAMN16246667,10843531355,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",NHP1,SRX9178099,GSM4800307,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:52:00Z,1,GSM4800307,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,4,a1,media
SRR12698502,OTHER,108,36979407468,PRJNA665230,SAMN16246666,12467527830,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",NHP1,SRX9178100,GSM4800308,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T16:27:00Z,1,GSM4800308,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,4,a2,live
SRR12698503,OTHER,108,32249130048,PRJNA665230,SAMN16246665,10609703698,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",NHP1,SRX9178101,GSM4800309,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T17:53:00Z,1,GSM4800309,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,4,a3,live
SRR12698504,OTHER,108,33661786356,PRJNA665230,SAMN16246664,11062473670,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",NHP1,SRX9178102,GSM4800310,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T18:03:00Z,1,GSM4800310,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,4,a4,live
SRR12698505,OTHER,108,37527694308,PRJNA665230,SAMN16246663,12358800647,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",NHP1,SRX9178103,GSM4800311,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T17:04:00Z,1,GSM4800311,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,24,a1,irrad
SRR12698506,OTHER,108,29114807724,PRJNA665230,SAMN16246662,9743206417,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",NHP1,SRX9178104,GSM4800312,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:35:00Z,1,GSM4800312,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,24,a1,live
SRR12698507,OTHER,108,36196963668,PRJNA665230,SAMN16246661,11964173780,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",NHP1,SRX9178105,GSM4800313,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T16:53:00Z,1,GSM4800313,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,24,a1,media
SRR12698508,OTHER,108,28860355404,PRJNA665230,SAMN16246660,9554503280,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",NHP1,SRX9178106,GSM4800314,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:34:00Z,1,GSM4800314,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,24,a2,live
