celltype,gene_name,gene_symbol
B cells,MS4A1,MS4A1
B cells,CD19,CD19
B cells,CD79B,CD79B
Dendritic cells,IRF8,IRF8
Dendritic cells,CD1C,CD1C
Panleukocyte,CD45,PTPRC
Monocytes,FCGR3,ENSMMUG00000016206
Monocytes,HLA-DRB5,HLA-DRB5
Monocytes,HLA-DRA,HLA-DRA
Monocytes,CD68,CD68
Monocytes,ITGAX,ITGAX
Monocytes,CD14,CD14
Monocytes,ITGAM,ITGAM
Monocytes,CFD,CFD
Monocytes,CD163,CD163
Natural killer cells,GZMB,GZMB
Natural killer cells,KLRB1,KLRB1
Natural killer cells,NCR1,NCR1
Immature neutrophils,SOD2,SOD2
Immature neutrophils,LCN2,LCN2
Immature neutrophils,CD177,CD177
Plasmablast,MZB1,MZB1
T cells,IL7R,IL7R
T cells,CD8A,CD8A
T cells,CD3D,CD3D
T cells,CD3G,CD3G
T cells,CD3E,CD3E
T cells,CD4,CD4
Erythrocytes,GYPA,ENSMMUG00000044429
Cytokines,IL-1β,IL1B
Cytokines,CCL2,CCL2
Cytokines,CCL3,ENSMMUG00000062832
Cytokines,CCL4,ENSMMUG00000020102
Proliferation,Ki67,MKI67
